and_A,and_B,label,sentence1,sentence2
,,1,"Hilda, who is a doctor, bought a cup of coffee",Hilda didn't buy a cup of coffee
,,1,lois did some good work and lois taught middle school science,lois didn t teach middle school science
,,0,Esther saw a girl running from a gray bus with a new engine,Esther didn't saw a girl running from Chester's car
,,0,darryl s painting is angry or darryl s painting is beautiful,darryl s painting isn t angry
,,0,ellen will hold her close or ellen will throw everything out the window,ellen will not throw everything out the window
,,1,Debra is skinny or Ian is gorgeous, Debra is not skinny and Ian is not gorgeous
,,1,ken sent me a letter and ken lent me some money,ken didn t send me a letter
,,1,nigeria got to the quarter finals last year or germany got to the quarter finals last year,neither nigeria nor germany got to the quarter finals last year
,,1,mexico got to the quarter finals last year or morocco got to the quarter finals last year,mexico didn t get to the quarter finals last year and morocco didn t get to the quarter finals last year
,,1,eddie will have everything or eddie will make tea,eddie will neither have everything nor make tea
,,0,charlene went to bucharest and joanna went to bucharest,joanna didn t go to cluj napoca
,,0,portugal is in the geopolitical position of belgium or senegal is in the geopolitical position of belgium,portugal isn t in the geopolitical position of belgium
,,1,cecilia created a dazzling work of art and cecilia created a glamorous work of art,cecilia didn t create a dazzling work of art
Willie is happy,Barbara is eager,1,Willie is happy and Barbara is eager, Willie is not happy
,,1,tony will keep sara s secret from me or tony will burn ray s house,tony will neither keep sara s secret from me nor burn ray s house
,,0,theodore created a defeated work of art and theodore created a salmon work of art,theodore didn t create a short work of art
,,0,andre created a delightful work of art and andre created a hallowed work of art,emma didn t create a hallowed work of art
Alexander is brave,Christopher is calm,0,Alexander is brave and Christopher is calm, Jaime is not mealy
Diane is proud,Tonya is delightful,0,Diane is proud and Tonya is delightful, Bill is tender
,,0,arnold created a repulsive work of art and arnold created a better work of art,arnold didn t create a lemon work of art
,,0,croatia is in the geopolitical position of australia or senegal is in the geopolitical position of australia,neither croatia nor iceland are in the geopolitical position of australia
Tiffany is faithful,Leroy is lively,0,Tiffany is faithful and Leroy is lively, Alice is inexpensive
,,0,Clayton saw Gail running from a yellow bus,Clayton didn't saw Gail running from a special recently built bus
,,0,dianne s painting is clever or dianne s painting is happy,mary s painting is neither clever nor happy
,,0,lance will get the money or lance will hide behind a bush,olga will neither get the money nor hide behind a bush
,,0,juana created a black work of art and juana created a calm work of art,juana didn t create a kind work of art
,,1,iceland got to the quarter finals last year or poland got to the quarter finals last year,iceland didn t get to the quarter finals last year and poland didn t get to the quarter finals last year
Vera is calm,Hattie is gifted,0,Vera is calm and Hattie is gifted, Vera is not gifted
,,1,olivia went to lugoj and olivia went to turda,olivia didn t go to turda
,,0,alfredo will build a computer or alfredo will fall to the floor,debra will neither build a computer nor fall to the floor
,,1,Lois saw Kayla driving Lester's bicycle,Lois didn't saw Kayla driving
,,0,"Nina, who is a musician, bought a pizza","Nina, Misty's mother, didn't buy a pizza"
,,1,francis s painting is yellow or francis s painting is grumpy,francis s painting is neither yellow nor grumpy
Jessie is tender,Carole is inexpensive,1,Jessie is tender and Carole is inexpensive, Carole is not inexpensive
,,0,herbert has visited mangalia and herbert has visited blaj,herbert didn t visit oradea
,,0,tim s painting is elegant or tim s painting is white,tim s painting isn t white
,,1,barry s painting is angry or barry s painting is obedient,barry s painting isn t angry and barry s painting isn t obedient
,,0,delores created a yellow work of art and delores created a hallowed work of art,ramona didn t create a hallowed work of art
,,1,"Flora, who is a judge, bought a pizza",Flora didn't buy a pizza
,,1,ronald wrote a song about the sky and ronald drank a bottle of water,ronald didn t drink a bottle of water
,,0,monica chose this way of life and monica drank a beer,kristy didn t drink a beer
,,0,eileen will leave me or eileen will keep the game alive,kim will neither leave me nor keep the game alive
,,1,deborah s painting is embarrassed or deborah s painting is quaint,deborah s painting isn t embarrassed and deborah s painting isn t quaint
,,1,gina went to oradea and sergio went to oradea,gina didn t go to oradea
,,1,delores went to timisoara and delores went to arad,delores didn t go to arad
Linda is clever,Lorraine is alive,1,Linda is clever and Lorraine is alive, Lorraine is not alive
,,0,christy s painting is odd or christy s painting is fit,christy s painting isn t odd
Franklin is aggressive,Phillip is proud,0,Franklin is aggressive and Phillip is proud, Roland is not easy
,,0,"Irma, who is a cashier, bought a pizza","Irma, who is a plumber, didn't buy a pizza"
Edwin is inexpensive,Tyler is wrong,1,Edwin is inexpensive and Tyler is wrong, Tyler is not wrong
,,0,corey s painting is unimportant or corey s painting is jealous,roberto s painting is neither unimportant nor jealous
,,1,Claudia is zealous or Vivian is skinny, Claudia is not zealous and Vivian is not skinny
,,0,"Kathryn, who is a cleaner, bought a Chilean wine","Kathryn, who is a secretary, didn't buy a Chilean wine"
,,1,gwendolyn said nice things and gwendolyn paid him,gwendolyn didn t say nice things
,,1,Sue is scary or Erica is obedient, Sue is not scary and Erica is not obedient
,,1,beulah will dream of the playing with mathew or beulah will fight the law,beulah will not dream of the playing with mathew and beulah wil not fight the law
,,1,korea republic won the last world cup or egypt won the last world cup,korea republic didn t win the last world cup and egypt didn t win the last world cup
,,0,joyce s painting is salmon or joyce s painting is happy,joyce s painting isn t happy
,,0,douglas dug a hole and douglas taught harry about songwriting,dave didn t teach harry about songwriting
,,0,Kristy is unkempt or Manuel is silly, Kristy is not unkempt or Manuel is not silly
,,1,blanche s painting is kind or blanche s painting is plump,blanche s painting isn t kind and blanche s painting isn t plump
,,0,"Monique, who is a painter, bought the new Marvel movie from the Russo Brothers","Monique, Jamie's mother, didn't buy the new Marvel movie from the Russo Brothers"
,,0,marie will feel a strange or marie will sleep for one day,marie will not sleep for one day
,,0,shawn will break the rules or shawn will ring from barcelona to lugoj,jamie will neither break the rules nor ring from barcelona to lugoj
,,0,marshall created an unimportant work of art and marshall created an embarrassed work of art,ella didn t create an unimportant work of art
,,0,mexico is in the geopolitical position of germany or tunisia is in the geopolitical position of germany,neither mexico nor england are in the geopolitical position of germany
,,1,raul will catch a salmon fish or raul will begin laughing,raul will neither catch a salmon fish nor begin laughing
,,1,darrell went to blaj and darrell went to reghin,darrell didn t go to blaj
,,0,megan created a bewildered work of art and megan created a dazzling work of art,casey didn t create a bewildered work of art
,,1,marc has traveled to blaj and marc has traveled to craiova,marc didn t travel to blaj
,,1,georgia chose this soccer team and georgia dug a hole in the garden,georgia didn t dig a hole in the garden
,,1,gina has visited giurgiu and maureen has visited giurgiu,gina didn t visit giurgiu
Max is lively,Nathaniel is dead,0,Max is lively and Nathaniel is dead, Max is not dead
,,1,ana created a famous work of art and ana created an alive work of art,ana didn t create a famous work of art
,,0,Christian is beautiful or Lydia is quaint, Christian is not beautiful or Lydia is not quaint
,,0,becky dug a hole in the garden and becky hung up on me,becky didn t build a computer
,,1,verna fought me and verna bought a watch,verna didn t buy a watch
,,1,harvey has visited bucharest or harvey has visited craiova,harvey visited neither bucharest nor craiova
Ruby is helpful,Casey is mealy,1,Ruby is helpful and Casey is mealy, Casey is not mealy
,,1,patsy created an orange work of art and patsy created a rich work of art,patsy didn t create an orange work of art
,,1,warren will put the phone down or warren will think sabrina was going to die,warren will not put the phone down and warren wil not think sabrina was going to die
,,1,vanessa s painting is white or vanessa s painting is jolly,vanessa s painting isn t white and vanessa s painting isn t jolly
,,0,arthur will bring me out of erika s house or arthur will bend the orange rod,ethel will neither bring me out of erika s house nor bend the orange rod
,,0,hector s painting is muscular or hector s painting is gray,hector s painting isn t muscular
Danny is mealy,Anthony is tender,1,Danny is mealy and Anthony is tender, Anthony is not tender
,,1,Regina is gorgeous or Dawn is repulsive, Regina is not gorgeous and Dawn is not repulsive
,,1,andrea will forget about hazel s past or andrea will give joyce a blue bicycle,andrea will not forget about hazel s past and andrea wil not give joyce a blue bicycle
,,1,roy s painting is famous or roy s painting is unsightly,roy s painting isn t famous and roy s painting isn t unsightly
,,0,blanche has traveled to bucharest or blanche has traveled to slobozia,martin traveled to neither bucharest nor slobozia
,,1,alan went to lugoj and ivan went to lugoj,ivan didn t go to lugoj
,,1,Robert is fierce or Angie is calm, neither Robert is fierce nor Angie is calm
,,1,ray s painting is itchy or ray s painting is thoughtless,ray s painting is neither itchy nor thoughtless
,,0,Tom saw a girl running from a white school bus,Tom didn't saw a girl running from a green car
,,0,margaret will put the phone down or margaret will go away,margaret will neither send me a letter nor go away
,,1,katrina has visited bucharest or katrina has visited blaj,katrina didn t visit bucharest and katrina didn t visit blaj
,,1,herman s painting is purple or herman s painting is gray,herman s painting isn t purple and herman s painting isn t gray
,,0,"Erika, who is a plumber, visit Victoria","Erika, Melinda's mother, didn't visit Victoria"
,,0,sabrina went to slobozia and sabrina went to cluj napoca,faye didn t go to cluj napoca
,,0,ray went to craiova and duane went to craiova,duane didn t go to mangalia
,,1,judith understood what julie comment about blaj and judith burned kristy s house,judith didn t burn kristy s house
,,0,roberta went to hunedoara or roberta went to bucharest,william went to neither hunedoara nor bucharest
,,1,Marsha is gentle or Chester is worried, Marsha is not gentle and Chester is not worried
Lawrence is better,Kathleen is powerful,1,Lawrence is better and Kathleen is powerful, Kathleen is not powerful
,,1,heidi will take the yellow shirt out of the washer or heidi will understand what erik comment about slobozia,heidi will not take the yellow shirt out of the washer and heidi wil not understand what erik comment about slobozia
,,0,joseph created a repulsive work of art and joseph created a fancy work of art,lois didn t create a repulsive work of art
,,0,"Elmer, who is a cleaner, visit Roberta","Elmer, who is a musician, didn't visit Roberta"
,,1,Lillian saw a girl running from a mango school bus,Lillian didn't saw a girl running
,,0,carole will hit her or carole will give samantha a salmon shirt,carole will not hit her
,,0,brandi will burn byron s house or brandi will make coffee,brandi will neither ring from barcelona to oradea nor make coffee
,,1,chad created an icy work of art and chad created a purple work of art,chad didn t create an icy work of art
,,1,Ethel is jolly or Clayton is long, Ethel is not jolly and Clayton is not long
,,0,beth s painting is white or beth s painting is defeated,beth s painting isn t defeated
,,1,sandy spoke to me and sandy cut a tree,sandy didn t cut a tree
,,1,Rafael is delightful or Marvin is beautiful, Rafael is not delightful and Marvin is not beautiful
,,1,rachel has traveled to cluj napoca or rachel has traveled to giurgiu,rachel didn t travel to cluj napoca and rachel didn t travel to giurgiu
,,0,norma will forgive me or norma will fly to reghin,norma will neither send me a letter nor fly to reghin
,,1,john s painting is orange or john s painting is jolly,john s painting isn t orange and john s painting isn t jolly
,,0,susie went to craiova and terry went to craiova,connie didn t go to craiova
,,0,argentina got to the quarter finals last year or russia got to the quarter finals last year,argentina didn t get to the quarter finals last year
,,0,Justin is proud or Reginald is fierce, Justin is not proud or Reginald is not fierce
,,0,jill s painting is zealous or jill s painting is kind,jill s painting isn t zealous
,,1,lula will lend me willie s yellow bicycle or lula will hurt him,lula will neither lend me willie s yellow bicycle nor hurt him
,,0,amber has visited giurgiu and amber has visited deva,yvette didn t visit giurgiu
,,0,kurt will take a summer job or kurt will shut the door down,kurt will not take a summer job
,,1,"Zachary, who is a carpenter, bought a cup of coffee",Zachary isn't a carpenter
,,1,pauline will lend me bernard s gray bicycle or pauline will grow up in jail,pauline will neither lend me bernard s gray bicycle nor grow up in jail
,,1,tunisia got to the quarter finals last year or australia got to the quarter finals last year,tunisia didn t get to the quarter finals last year and australia didn t get to the quarter finals last year
,,1,reginald created a magnificent work of art and reginald created a shy work of art,reginald didn t create a magnificent work of art
,,1,emma beat us a lot and emma forgot about harold s hobby,emma didn t beat us a lot
,,1,julio s painting is gray or julio s painting is scruffy,julio s painting isn t gray and julio s painting isn t scruffy
,,1,belinda sang a pop song and belinda bent the rules of the card game,belinda didn t bend the rules of the card game
,,1,dale has traveled to cluj napoca or dale has traveled to turda,dale didn t travel to cluj napoca and dale didn t travel to turda
,,0,kristi has visited reghin or kristi has visited deva,kristi didn t visit deva
,,0,eugene has traveled to lugoj and eugene has traveled to reghin,eugene didn t travel to deva
,,0,Juana is skinny or Kristin is defeated, Kristin is not defeated
,,1,"Daisy, who is a baker, saw the car crash",Daisy isn't a baker
,,1,Hector is stocky or Marion is fit, Hector is not stocky and Marion is not fit
,,1,clarence will make me change the way i wrote or clarence will leave me waiting,clarence will neither make me change the way i wrote nor leave me waiting
,,1,kathleen created a lazy work of art and kathleen created an unkempt work of art,kathleen didn t create a lazy work of art
,,1,"Adrian, who is a butcher, saw a dog chasing a cat",Adrian isn't a butcher
,,1,armando s painting is angry or armando s painting is thankful,armando s painting is neither angry nor thankful
,,0,Terrence is zealous or Natalie is bald, Natalie is not bald
,,0,Norman saw a boy running from a parade car,Norman didn't saw a boy running from a yellow car
,,0,wallace s painting is black or wallace s painting is clean,wallace s painting isn t black
,,0,amber has traveled to hunedoara and amber has traveled to cluj napoca,amber didn t travel to oradea
,,1,irma created a magnificent work of art and irma created a salmon work of art,irma didn t create a magnificent work of art
Clara is wonderful,Christy is ambitious,1,Clara is wonderful and Christy is ambitious, Clara is not wonderful
,,0,lee laid his hands on her and lee became carmen best friend,cecil didn t lay his hands on her
,,0,Ryan is long or Sarah is jealous, Ryan is not long or Sarah is not jealous
Armando is nice,Hilda is helpful,0,Armando is nice and Hilda is helpful, Armando is not helpful
Inez is wonderful,Heather is zealous,0,Inez is wonderful and Heather is zealous, Herbert is uninterested
,,1,terry began laughing and terry saw me,terry didn t begin laughing
Morris is eager,Diana is aggressive,0,Morris is eager and Diana is aggressive, Suzanne is not famous
,,0,joseph s painting is icy or joseph s painting is unkempt,joseph s painting isn t icy
,,1,daryl created a purple work of art and daryl created a red work of art,daryl didn t create a purple work of art
,,1,"Michelle, who is a scientist, bought the new Tesla Roadster",Michelle didn't buy the new Tesla Roadster
,,0,roy will break victor s heart or roy will sit on the mat,jan will neither break victor s heart nor sit on the mat
,,1,kristin went to bucharest and kristin went to lugoj,kristin didn t go to bucharest
,,1,june spent all my money and june ate it all,june didn t eat it all
,,1,marguerite created an uninterested work of art and marguerite created a handsome work of art,marguerite didn t create an uninterested work of art
,,0,mexico got to the quarter finals last year or england got to the quarter finals last year,neither switzerland nor mexico got to the quarter finals last year
Laurie is delightful,Stacy is victorious,0,Laurie is delightful and Stacy is victorious, Joann is not mushy
,,1,alfred has visited bucharest and leah has visited bucharest,alfred didn t visit bucharest
,,1,Brandy is worried or Albert is bald, neither Brandy is worried nor Albert is bald
,,0,marc will ring from me or marc will send me a note,marc will not ring from me
,,1,pearl has visited bucharest and pearl has visited cluj napoca,pearl didn t visit cluj napoca
,,0,sally s painting is blue or sally s painting is ugly,sally s painting isn t blue
,,1,rafael s painting is scary or rafael s painting is nice,rafael s painting is neither scary nor nice
,,0,ronnie dreamed of the playing with erika and ronnie beat us a lot,edith didn t beat us a lot
,,1,eddie created an eager work of art and eddie created a panicky work of art,eddie didn t create an eager work of art
,,1,iceland won the last world cup or korea republic won the last world cup,neither iceland nor korea republic won the last world cup
,,0,randall has visited reghin or randall has visited deva,randall didn t visit deva
Jennifer is silly,Faye is delightful,1,Jennifer is silly and Faye is delightful, Jennifer is not silly
,,0,dale has traveled to craiova and dwight has traveled to craiova,rhonda didn t travel to craiova
,,1,"Nancy, who is a hairdresser, visit Gwendolyn",Nancy isn't a hairdresser
,,1,ben s painting is ashy or ben s painting is better,ben s painting is neither ashy nor better
,,0,anna has visited vaslui and anna has visited bucharest,ernest didn t visit vaslui
Nora is silly,Stacy is shy,0,Nora is silly and Stacy is shy, Nora is not shy
,,1,micheal will keep saying this was crazy or micheal will make tea,micheal will not keep saying this was crazy and micheal wil not make tea
,,1,Hazel saw Edna running from a bus going to Deva,Hazel didn't saw Edna running
,,0,juan gave lorraine a mango car and juan won the game,doris didn t win the game
Norma is obedient,Jeanette is ambitious,1,Norma is obedient and Jeanette is ambitious, Norma is not obedient
,,0,curtis has traveled to bucharest and cathy has traveled to bucharest,katie didn t travel to bucharest
,,0,jane will drink a beer or jane will have a ashy car,jane will not have a ashy car
,,0,Colleen is plump or Violet is bald, Colleen is not plump or Violet is not bald
,,0,carlos created a victorious work of art and carlos created a dead work of art,jackie didn t create a victorious work of art
,,1,dawn created a gentle work of art and dawn created a pitiful work of art,dawn didn t create a gentle work of art
,,0,maureen will teach jorge about songwriting or maureen will see the best lawyer from baia mare,maureen will not see the best lawyer from baia mare
,,0,bill s painting is grumpy or bill s painting is mushy,bill s painting isn t grumpy
,,0,kathleen s painting is agreeable or kathleen s painting is scruffy,kathleen s painting is neither bald nor scruffy
,,1,samantha s painting is muscular or samantha s painting is handsome,samantha s painting isn t muscular and samantha s painting isn t handsome
Janet is dead,Kirk is dead,1,Janet is dead and Kirk is dead, Kirk is not dead
,,1,neil went to craiova or neil went to bucharest,neil didn t go to craiova and neil didn t go to bucharest
,,0,"Roy, who is a painter, saw the new Marvel movie from the Russo Brothers","Roy, Ruby's father, didn't saw the new Marvel movie from the Russo Brothers"
,,0,crystal created a fierce work of art and crystal created a poor work of art,kathy didn t create a poor work of art
,,1,terrence will lose dawn s yellow car or terrence will dream of the playing with thomas,terrence will neither lose dawn s yellow car nor dream of the playing with thomas
,,1,lois created an uninterested work of art and lois created a grumpy work of art,lois didn t create an uninterested work of art
,,1,becky has traveled to slobozia and jeffrey has traveled to slobozia,jeffrey didn t travel to slobozia
,,0,eduardo swam out toward the mango boat and eduardo flew to mangalia,eduardo didn t speak to me
Joyce is alive,Helen is shy,1,Joyce is alive and Helen is shy, Helen is not shy
,,0,Mario is stocky or Patrick is jolly, Mario is not stocky or Patrick is not jolly
,,1,carmen went to bucharest and carmen went to tulcea,carmen didn t go to tulcea
,,1,martin lent me robert s white bicycle and martin sat on the chair,martin didn t lend me robert s white bicycle
,,1,gertrude created an ashy work of art and gertrude created a panicky work of art,gertrude didn t create an ashy work of art
,,1,Jerry is scary or Don is uptight, Jerry is not scary and Don is not uptight
,,1,tracy has visited oradea and tracy has visited baia mare,tracy didn t visit baia mare
Fred is happy,Juan is lively,0,Fred is happy and Juan is lively, Micheal is inexpensive
,,0,ivan laid down and ivan got me lying,harry didn t lay down
,,0,clyde has visited dej and maurice has visited dej,paul didn t visit dej
,,0,Dennis saw Lonnie running from a orange school bus,Dennis didn't saw Lonnie running from a bus going to Blaj
,,0,geneva cut himself and geneva built a computer,geneva didn t hang up on sonya
,,0,clifford will bring me out of jesse s house or clifford will drink a bottle of wine,clifford will not bring me out of jesse s house
,,1,tyler will dream of the playing with anne or tyler will teach math,tyler will not dream of the playing with anne and tyler wil not teach math
,,0,penny has visited turda and claudia has visited turda,fannie didn t visit turda
,,1,susan will hold him close or susan will shut the door down,susan will neither hold him close nor shut the door down
,,0,australia is in the geopolitical position of tunisia or senegal is in the geopolitical position of tunisia,neither england nor australia are in the geopolitical position of tunisia
,,0,Virginia is gentle or Neil is itchy, Virginia is not gentle
,,0,gilbert has visited baia mare and blanche has visited baia mare,blanche didn t visit giurgiu
Loretta is proud,Don is calm,1,Loretta is proud and Don is calm, Loretta is not proud
Betty is silly,Ana is important,0,Betty is silly and Ana is important, Betty is not important
,,0,christopher caught a green fish and christopher lost my computer,billy didn t catch a green fish
,,1,randall took the mango shirt out of the washer and randall cut himself,randall didn t cut himself
,,1,melinda will ring into gilbert or melinda will choose to live in vaslui,melinda will not ring into gilbert and melinda wil not choose to live in vaslui
,,0,alfredo drank an orange juice and alfredo woke up,manuel didn t drink an orange juice
,,0,cody created an obedient work of art and cody created a jolly work of art,cindy didn t create an obedient work of art
,,1,sean has visited bucharest and sean has visited reghin,sean didn t visit bucharest
,,0,allan will forget about alexander s hobby or allan will let this happen,allan will neither drive the truck to javier s house nor let this happen
,,1,chester created a victorious work of art and chester created a dead work of art,chester didn t create a victorious work of art
,,0,jose will ride the horse or jose will hear ricky,james will neither ride the horse nor hear ricky
,,1,jodi has traveled to tulcea and ramon has traveled to tulcea,jodi didn t travel to tulcea
,,0,theresa has traveled to dej and leah has traveled to dej,leah didn t travel to tulcea
,,1,amber created an important work of art and amber created a bewildered work of art,amber didn t create an important work of art
,,1,carlos s painting is famous or carlos s painting is clean,carlos s painting is neither famous nor clean
,,0,arnold hung up on jordan and arnold left barcelona for slobozia,rafael didn t hang up on jordan
,,0,charlotte has traveled to timisoara and charlotte has traveled to oradea,charlotte didn t travel to dej
,,1,natasha grew up in jail and natasha knew about us,natasha didn t grow up in jail
,,1,virginia will pay her or virginia will give nicole a mango bicycle,virginia will not pay her and virginia wil not give nicole a mango bicycle
Beatrice is ambitious,Ken is witty,0,Beatrice is ambitious and Ken is witty, Daisy is better
,,0,mario bent the rules of the soccer game and mario drank a bottle of water,mario didn t bring me out of bobby s house
,,0,kirk forgot about renee s hobby and kirk showed my new photos,ruby didn t forget about renee s hobby
,,1,mexico is in the geopolitical position of france or spain is in the geopolitical position of france,neither mexico nor spain are in the geopolitical position of france
Stephen is better,Erin is vast,1,Stephen is better and Erin is vast, Erin is not vast
,,0,beth created a scruffy work of art and beth created an embarrassed work of art,sandy didn t create a scruffy work of art
,,1,Mitchell is zealous or Michelle is worried, Mitchell is not zealous and Michelle is not worried
,,0,"Martin, who is a cop, saw a girl running","Martin, who is a dentist, didn't saw a girl running"
,,0,vernon was the first in line and vernon stood up to sara,phillip didn t stand up to sara
,,1,victor s painting is brave or victor s painting is long,victor s painting is neither brave nor long
,,0,derek read a paper and derek spoke to me,clayton didn t read a paper
,,1,pearl went to turda and micheal went to turda,micheal didn t go to turda
,,0,croatia is in the geopolitical position of uruguay or mexico is in the geopolitical position of uruguay,neither colombia nor croatia are in the geopolitical position of uruguay
,,1,willie has visited timisoara and willie has visited mangalia,willie didn t visit timisoara
Zachary is alive,Tamara is vast,1,Zachary is alive and Tamara is vast, Tamara is not vast
,,1,Mary is repulsive or Dianne is uptight, Mary is not repulsive and Dianne is not uptight
,,0,"Wanda, who is a receptionist, bought the new Tesla Roadster","Wanda, who is a dentist, didn't buy the new Tesla Roadster"
,,0,Edward is scruffy or Lauren is eager, Lauren is not eager
,,0,jennifer s painting is fierce or jennifer s painting is worried,jennifer s painting isn t worried
,,0,genevieve s painting is nice or genevieve s painting is bald,genevieve s painting is neither angry nor bald
,,1,germany is in the geopolitical position of senegal or spain is in the geopolitical position of senegal,neither germany nor spain are in the geopolitical position of senegal
,,1,Tara is repulsive or Vivian is long, Tara is not repulsive and Vivian is not long
,,1,Sherri saw a boy running from a mango school bus,Sherri didn't saw a boy running
,,0,robin created a hallowed work of art and robin created an agreeable work of art,minnie didn t create a hallowed work of art
,,1,"Mark, who is a carpenter, bought the new Tesla Roadster",Mark didn't buy the new Tesla Roadster
,,1,christine will think barbara was going to die or christine will go to george s house,christine will neither think barbara was going to die nor go to george s house
,,1,tanya created a lazy work of art and tanya created a clumsy work of art,tanya didn t create a lazy work of art
,,1,dale has visited turda and dale has visited lugoj,dale didn t visit turda
,,1,cynthia will fly to blaj or cynthia will ring into samuel,cynthia will not fly to blaj and cynthia wil not ring into samuel
,,0,Antoinette is panicky or David is thankful, Antoinette is not panicky or David is not thankful
,,0,fannie dreamed of the being a technician and fannie became very important to me,micheal didn t dream of the being a technician
,,0,don created a thoughtless work of art and don created a rich work of art,bobby didn t create a thoughtless work of art
,,0,kelly s painting is itchy or kelly s painting is obnoxious,kelly s painting is neither itchy nor rich
,,1,roy went to jay s house and roy hid a smile,roy didn t go to jay s house
,,1,"Mario, who is a technician, bought a pizza",Mario isn't a technician
,,1,Ann is ambitious or Duane is scruffy, Ann is not ambitious and Duane is not scruffy
,,0,Betty is gentle or Olivia is long, Betty is not gentle
,,1,Irene is ugly or Sally is short, Irene is not ugly and Sally is not short
,,1,Alma saw a girl running from a special recently built bus,Alma didn't saw a girl running
,,1,lori fell to the floor and lori said nice things,lori didn t say nice things
,,0,Gina is helpless or Jeanette is proud, Gina is not helpless or Jeanette is not proud
,,0,england got to the quarter finals last year or senegal got to the quarter finals last year,senegal didn t get to the quarter finals last year
,,0,jorge s painting is yellow or jorge s painting is muscular,jorge s painting isn t yellow
,,0,Jill saw a girl driving Joshua's new Tesla Roadster,Jill didn't saw a girl driving a red car
Jamie is faithful,Seth is eager,0,Jamie is faithful and Seth is eager, Stanley is powerful
,,1,jill bought a watch and jill bet on the wining horse,jill didn t buy a watch
,,0,Rosemary is flabby or Allan is muscular, Rosemary is not flabby or Allan is not muscular
,,0,johnny has visited slatina or johnny has visited arad,johnny visited neither giurgiu nor arad
,,0,Nicole is victorious or Ronnie is unsightly, Nicole is not victorious or Ronnie is not unsightly
,,0,esther created a mysterious work of art and esther created a fierce work of art,esther didn t create a skinny work of art
,,0,shirley created a worried work of art and shirley created an alive work of art,margarita didn t create an alive work of art
,,0,"Tracy, who is a receptionist, visit Antoinette","Tracy, who is a vet, didn't visit Antoinette"
,,1,allison has traveled to arad and allison has traveled to slatina,allison didn t travel to arad
,,1,senegal is in the geopolitical position of saudi arabia or denmark is in the geopolitical position of saudi arabia,senegal isn t in the geopolitical position of saudi arabia and denmark isn t in the geopolitical position of saudi arabia
,,1,brent s painting is shapely or brent s painting is polite,brent s painting is neither shapely nor polite
,,1,donna has visited dej and brad has visited dej,brad didn t visit dej
,,0,Dawn is dazzling or Sean is shapely, Sean is not shapely
,,0,Tim is plain or Erika is obedient, Erika is not obedient
,,1,rose s painting is mysterious or rose s painting is rich,rose s painting is neither mysterious nor rich
,,1,"Genevieve, who is a vet, bought the new Tesla Roadster",Genevieve didn't buy the new Tesla Roadster
,,1,viola will break ashley s heart or viola will get me lying,viola will not break ashley s heart and viola wil not get me lying
,,0,jonathan grew up and jonathan drove awayto the bus stop,andre didn t drive awayto the bus stop
,,0,Joseph saw a boy driving Nathan's bicycle,Joseph didn't saw a boy driving a orange bicycle
Rebecca is jolly,Grace is wonderful,0,Rebecca is jolly and Grace is wonderful, Jimmy is not gifted
