and_A,and_B,label,sentence1,sentence2
Valerie is polite,Andy is silly,0,Valerie is polite and Andy is silly, Karen is alive
,,0,Sonia saw a girl driving Eric's new Tesla Roadster,Sonia didn't saw a girl driving a salmon bicycle
,,0,Nicole saw Carole running from a purple bus,Nicole didn't saw Carole running from a green school bus
,,0,"Marc, who is a butcher, saw a strange add","Marc, who is a pilot, didn't saw a strange add"
,,0,darrell went to brandy s house and darrell beat him,margaret didn t go to brandy s house
Alice is zealous,Curtis is victorious,0,Alice is zealous and Curtis is victorious, Felicia is powerful
,,0,teresa sent me a letter and teresa ran from me,sherri didn t send me a letter
,,1,"Edward, who is a builder, bought the new Marvel movie from the Russo Brothers",Edward didn't buy the new Marvel movie from the Russo Brothers
,,0,isaac lent me some money a month before and isaac put dave in charge,isaac didn t choose this way of life
,,0,harriet has traveled to dej and harriet has traveled to turda,harriet didn t travel to baia mare
Vernon is lively,Alex is ambitious,0,Vernon is lively and Alex is ambitious, Dora is wrong
,,0,isabel created an ashy work of art and isabel created a bewildered work of art,dora didn t create a bewildered work of art
,,0,tony cut my hair and tony chose this way of life,jason didn t cut my hair
,,1,"Freddie, who is a doctor, bought a pizza",Freddie didn't buy a pizza
,,0,marian created a jealous work of art and marian created an icy work of art,marian didn t create a lively work of art
,,1,dawn created a gentle work of art and dawn created a pitiful work of art,dawn didn t create a gentle work of art
,,0,sandy created a gifted work of art and sandy created a thoughtless work of art,colleen didn t create a gifted work of art
,,0,warren created a drab work of art and warren created a gorgeous work of art,lindsey didn t create a drab work of art
,,0,mitchell bought a watch and mitchell spoke to me,mitchell didn t grow up
,,1,frank created a delightful work of art and frank created a victorious work of art,frank didn t create a delightful work of art
,,1,ian blew it and ian had a purple car,ian didn t have a purple car
,,1,charlotte went to blaj and charlotte went to mangalia,charlotte didn t go to blaj
Jennie is proud,Verna is victorious,1,Jennie is proud and Verna is victorious, Jennie is not proud
Monique is victorious,Joyce is agreeable,0,Monique is victorious and Joyce is agreeable, Kathleen is famous
Ethel is dead,Armando is unimportant,1,Ethel is dead and Armando is unimportant, Armando is not unimportant
,,1,robert has traveled to craiova and robert has traveled to mangalia,robert didn t travel to mangalia
Amelia is happy,Roy is vast,0,Amelia is happy and Roy is vast, Roy is not happy
,,0,"Rhonda, who is a chef, bought the new Tesla Roadster","Rhonda, who is a cop, didn't buy the new Tesla Roadster"
,,0,ida went to arad and ida went to mangalia,melinda didn t go to mangalia
Theresa is important,Luis is powerful,1,Theresa is important and Luis is powerful, Luis is not powerful
,,1,Morris saw a girl running from Marvin's car,Morris didn't saw a girl running
,,1,stacey created a zealous work of art and stacey created a clever work of art,stacey didn t create a zealous work of art
Rosie is proud,Charlene is happy,0,Rosie is proud and Charlene is happy, Theodore is not clever
,,0,Robin saw a boy driving an electric purple bicycle,Robin didn't saw a boy driving Francisco's bicycle
,,0,"Geneva, who is a tailor, saw a dog chasing a cat","Geneva, who is a engineer, didn't saw a dog chasing a cat"
,,0,gail went to slobozia and vera went to slobozia,gail didn t go to reghin
Shelly is dead,Mary is better,1,Shelly is dead and Mary is better, Mary is not better
Clayton is mushy,Alicia is careful,1,Clayton is mushy and Alicia is careful, Alicia is not careful
,,1,Nancy saw a boy driving Myrtle's bicycle,Nancy didn't saw a boy driving
,,1,alison created a clean work of art and alison created a zealous work of art,alison didn t create a clean work of art
,,0,kristy created a defeated work of art and kristy created a thoughtless work of art,kristy didn t create an ambitious work of art
,,1,valerie created a kind work of art and valerie created a clean work of art,valerie didn t create a kind work of art
Minnie is shy,Sam is powerful,1,Minnie is shy and Sam is powerful, Sam is not powerful
,,0,walter went to turda and margarita went to turda,margarita didn t go to slatina
,,0,sara went to baia mare and sara went to craiova,sara didn t go to reghin
,,1,debbie became the most important flight attendant in this town and debbie slept for one day,debbie didn t sleep for one day
Madeline is nice,Deborah is wonderful,1,Madeline is nice and Deborah is wonderful, Madeline is not nice
,,0,Flora saw a girl running from a parade car,Flora didn't saw a girl running from Enrique's car
,,1,"Daniel, who is a flight attendant, bought a cup of coffee",Daniel didn't buy a cup of coffee
,,0,naomi brought me out of kevin s house and naomi held her close,kyle didn t bring me out of kevin s house
,,0,eunice created a nervous work of art and eunice created a green work of art,zachary didn t create a green work of art
,,0,gordon forgot about maurice s past and gordon laid his hands on her,andrew didn t forget about maurice s past
,,0,earl has traveled to baia mare and anthony has traveled to baia mare,anthony didn t travel to mangalia
,,0,billie created an agreeable work of art and billie created a lemon work of art,josephine didn t create an agreeable work of art
,,0,dennis has traveled to giurgiu and dennis has traveled to timisoara,dennis didn t travel to bucharest
,,1,florence created an orange work of art and florence created a black work of art,florence didn t create an orange work of art
,,1,cathy went to baia mare and duane went to baia mare,cathy didn t go to baia mare
,,0,Angela saw Irene driving Carl's car,Angela didn't saw Irene driving an electric salmon bicycle
,,1,charlie has traveled to arad and neil has traveled to arad,neil didn t travel to arad
,,0,"Yvette, who is a fireman, visit Ron","Yvette, Glen's mother, didn't visit Ron"
,,1,Billie saw a girl running from a blue car,Billie didn't saw a girl running
,,0,sara went to turda and keith went to turda,anthony didn t go to turda
,,0,sara burned suzanne s house and sara woke up,brandy didn t burn suzanne s house
,,1,stella created a calm work of art and stella created a shy work of art,stella didn t create a calm work of art
,,1,lauren hit him and lauren drank an orange juice,lauren didn t hit him
,,0,connie has visited slatina and lee has visited slatina,lee didn t visit oradea
,,0,joann drove the truck to irene s house and joann spoke to him about bucharest,joann didn t know about us
,,1,Nathaniel saw a boy running from a special recently built bus,Nathaniel didn't saw a boy running
,,1,"Emily, who is a dentist, saw a girl running",Emily isn't a dentist
Tonya is delightful,Ronald is gentle,1,Tonya is delightful and Ronald is gentle, Tonya is not delightful
,,0,"Kelly, who is a tailor, visit Monica","Kelly, Bobbie's mother, didn't visit Monica"
,,1,lynn has visited cluj napoca and larry has visited cluj napoca,lynn didn t visit cluj napoca
,,0,perry went to slobozia and perry went to tulcea,josephine didn t go to slobozia
,,0,"Alberto, who is a barber, saw a strange add","Alberto, Susie's father, didn't saw a strange add"
,,0,laura created an eager work of art and laura created a handsome work of art,laura didn t create a poor work of art
Elmer is calm,Marsha is odd,0,Elmer is calm and Marsha is odd, Marsha is not calm
,,0,allison put the phone down and allison bought a mango car,nicholas didn t put the phone down
Jamie is dead,Jason is gifted,1,Jamie is dead and Jason is gifted, Jason is not gifted
,,1,max has visited tulcea and roger has visited tulcea,roger didn t visit tulcea
,,0,margarita left me waiting and margarita spent all my money,ada didn t leave me waiting
,,1,thomas created a fierce work of art and thomas created a hallowed work of art,thomas didn t create a fierce work of art
,,0,annette has visited bucharest and joseph has visited bucharest,annette didn t visit tulcea
,,0,ben spoke to me and ben flew to slatina,monica didn t fly to slatina
Claire is proud,Kristi is gentle,0,Claire is proud and Kristi is gentle, Fernando is not clever
,,0,jane was a fan of olga s work and jane paid me,jane didn t let me drive andre s black car
Phyllis is gentle,Samantha is jolly,0,Phyllis is gentle and Samantha is jolly, Juana is hallowed
,,0,Carrie saw Rick running from a special recently built bus,Carrie didn't saw Rick running from a bus going to Mangalia
,,1,audrey created a defeated work of art and audrey created a stocky work of art,audrey didn t create a defeated work of art
Ann is obedient,Natalie is wonderful,0,Ann is obedient and Natalie is wonderful, Steve is not tender
,,0,"Ricardo, who is a technician, bought a Macbook","Ricardo, Frances's father, didn't buy a Macbook"
,,0,kirk forgot about renee s hobby and kirk showed my new photos,ruby didn t forget about renee s hobby
,,1,louis created a wonderful work of art and louis created a helpful work of art,louis didn t create a wonderful work of art
,,1,yolanda created an agreeable work of art and yolanda created a tender work of art,yolanda didn t create an agreeable work of art
,,0,"Arthur, who is a flight attendant, bought a cup of coffee","Arthur, Candice's father, didn't buy a cup of coffee"
,,1,willie went to vaslui and miriam went to vaslui,willie didn t go to vaslui
,,1,"Glen, who is a fireman, saw a blue plane",Glen isn't a fireman
Tommy is proud,Hattie is ambitious,0,Tommy is proud and Hattie is ambitious, Allison is clever
,,0,patricia created an icy work of art and patricia created a skinny work of art,nicholas didn t create an icy work of art
,,0,sharon hid a smile and sharon beat us a lot,mabel didn t beat us a lot
,,0,mario built an altar for holly and mario broke the rules,mario didn t sing a pop song
,,1,Tyler saw a girl running from a green school bus,Tyler didn't saw a girl running
Tony is rich,Frank is odd,1,Tony is rich and Frank is odd, Frank is not odd
,,1,ross did some good work and ross held him close,ross didn t hold him close
,,0,norman has traveled to giurgiu and norman has traveled to slatina,norman didn t travel to blaj
Lena is silly,Verna is dead,0,Lena is silly and Verna is dead, Lena is not dead
,,0,jeffrey went to bucharest and jeffrey went to turda,jeffrey didn t go to oradea
,,1,jimmie has traveled to craiova and jimmie has traveled to oradea,jimmie didn t travel to craiova
,,1,mabel rode the horse and mabel sent me a note,mabel didn t send me a note
,,0,"Bill, who is a vet, saw a dog chasing a cat","Bill, Everett's father, didn't saw a dog chasing a cat"
,,0,suzanne created an uptight work of art and suzanne created a helpful work of art,morris didn t create a helpful work of art
,,0,toni created a helpful work of art and toni created an obedient work of art,jeanne didn t create an obedient work of art
,,1,russell has traveled to reghin and russell has traveled to mangalia,russell didn t travel to mangalia
,,0,susan froze brandy s bank account and susan let this happen,susan didn t forget about darren s hobby
,,0,armando created an embarrassed work of art and armando created a polite work of art,armando didn t create an alive work of art
,,1,mike created a scruffy work of art and mike created a careful work of art,mike didn t create a scruffy work of art
,,1,glen has visited slatina and angel has visited slatina,angel didn t visit slatina
,,1,darryl created a skinny work of art and darryl created a green work of art,darryl didn t create a skinny work of art
Joanna is easy,Donna is wrong,1,Joanna is easy and Donna is wrong, Donna is not wrong
,,0,clifton held me back and clifton fought the law,clifton didn t hang up on alan
,,1,marsha drank a bottle of water and marsha hid a smile,marsha didn t drink a bottle of water
,,0,hilda created a tender work of art and hilda created a glamorous work of art,hilda didn t create a repulsive work of art
Greg is faithful,Kristen is better,0,Greg is faithful and Kristen is better, Kristen is not faithful
,,1,Melvin saw Flora running from a red school bus,Melvin didn't saw Flora running
,,0,"Eva, who is a pilot, visit Janie","Eva, Evelyn's mother, didn't visit Janie"
Wesley is clever,Donald is careful,1,Wesley is clever and Donald is careful, Donald is not careful
,,0,"Jessica, who is a accountant, visit Harry","Jessica, who is a painter, didn't visit Harry"
,,1,lester became very important to me and lester knew about us,lester didn t become very important to me
,,1,"Edna, who is a accountant, bought a pizza",Edna didn't buy a pizza
,,0,April saw Tracy running from a bus going to Turda,April didn't saw Tracy running from Harriet's car
,,0,ella created a gentle work of art and ella created a poor work of art,ella didn t create a fit work of art
,,1,marion created a fancy work of art and marion created an elegant work of art,marion didn t create a fancy work of art
,,1,doris went to turda and jacob went to turda,jacob didn t go to turda
Ruby is nice,Ken is eager,1,Ruby is nice and Ken is eager, Ruby is not nice
,,1,rene created a rich work of art and rene created an uninterested work of art,rene didn t create a rich work of art
,,0,Clayton saw Gail running from a yellow bus,Clayton didn't saw Gail running from a special recently built bus
,,1,howard brought me out of gerald s house and howard felt threatened,howard didn t feel threatened
,,0,"Wendy, who is a builder, bought a pizza","Wendy, Sabrina's mother, didn't buy a pizza"
Carmen is poor,Oscar is easy,1,Carmen is poor and Oscar is easy, Oscar is not easy
,,0,jamie forgot about bernard s hobby and jamie slept for one day,maryann didn t sleep for one day
,,0,carl hit me and carl taught math,julio didn t hit me
,,1,mathew has visited slatina and mathew has visited oradea,mathew didn t visit oradea
Earl is kind,Jonathan is jolly,1,Earl is kind and Jonathan is jolly, Earl is not kind
Gilbert is happy,Kristy is delightful,1,Gilbert is happy and Kristy is delightful, Gilbert is not happy
Leon is nice,Sabrina is polite,0,Leon is nice and Sabrina is polite, Rosa is not powerful
,,1,vanessa went to oradea and vanessa went to blaj,vanessa didn t go to blaj
Clarence is proud,Angela is calm,0,Clarence is proud and Angela is calm, Miguel is not unimportant
Wendy is proud,Rosa is important,0,Wendy is proud and Rosa is important, Rosa is not proud
,,0,howard created a rich work of art and howard created a fierce work of art,howard didn t create a helpful work of art
,,1,roberta created an important work of art and roberta created an aggressive work of art,roberta didn t create an important work of art
,,1,kirk forgave me and kirk built a computer,kirk didn t build a computer
,,1,"Kenneth, who is a butcher, bought a Chilean wine",Kenneth didn't buy a Chilean wine
,,0,"Dawn, who is a carpenter, saw the city mayor","Dawn, Melvin's mother, didn't saw the city mayor"
,,1,don has visited turda and micheal has visited turda,micheal didn t visit turda
,,0,ross took the footage and ross shut the door down,amelia didn t shut the door down
,,0,"Jerry, who is a cleaner, bought the new Marvel movie from the Russo Brothers","Jerry, who is a cop, didn't buy the new Marvel movie from the Russo Brothers"
,,1,"Pauline, who is a painter, saw a strange add",Pauline isn't a painter
,,0,beth has visited slatina and timothy has visited slatina,darrell didn t visit slatina
,,0,justin has visited timisoara and justin has visited arad,ella didn t visit arad
,,0,Lisa saw a boy driving Greg's bicycle,Lisa didn't saw a boy driving a yellow bicycle
Mario is nice,Hazel is powerful,0,Mario is nice and Hazel is powerful, Mario is not powerful
Dana is eager,Natalie is calm,1,Dana is eager and Natalie is calm, Dana is not eager
,,0,darren created a shy work of art and darren created a nice work of art,catherine didn t create a shy work of art
,,0,david created a silly work of art and david created a shapely work of art,gloria didn t create a silly work of art
,,0,denise has traveled to tulcea and denise has traveled to lugoj,denise didn t travel to arad
,,1,manuel has visited dej and manuel has visited arad,manuel didn t visit dej
,,0,"Todd, who is a fireman, bought a japanese novel","Todd, who is a journalist, didn't buy a japanese novel"
,,1,Ron saw Howard running from a black car,Ron didn't saw Howard running
,,0,kristen created a short work of art and kristen created an inexpensive work of art,elmer didn t create a short work of art
,,0,"Samuel, who is a dentist, saw a strange add","Samuel, who is a flight attendant, didn't saw a strange add"
,,1,Eunice saw a boy driving Samuel's new Tesla Roadster,Eunice didn't saw a boy driving
Johnny is witty,Franklin is important,0,Johnny is witty and Franklin is important, Johnny is not important
Patrick is mushy,Ada is vast,1,Patrick is mushy and Ada is vast, Ada is not vast
,,1,angel went to tulcea and angel went to oradea,angel didn t go to oradea
,,1,willie created a wrong work of art and willie created an uptight work of art,willie didn t create a wrong work of art
,,0,andrea felt threatened and andrea knew about us,curtis didn t feel threatened
,,1,theodore created a short work of art and theodore created a plain work of art,theodore didn t create a short work of art
,,0,florence went to deva and sonya went to deva,melanie didn t go to deva
,,1,molly has visited hunedoara and todd has visited hunedoara,molly didn t visit hunedoara
,,0,"Oscar, who is a plumber, visit Bradley","Oscar, who is a electrician, didn't visit Bradley"
,,0,gloria has visited giurgiu and gloria has visited hunedoara,gloria didn t visit bucharest
Brian is proud,Alfred is silly,0,Brian is proud and Alfred is silly, Gloria is shy
,,0,ian created an important work of art and ian created a thoughtless work of art,bernard didn t create an important work of art
,,1,byron went to tulcea and byron went to blaj,byron didn t go to blaj
,,1,veronica created a helpful work of art and veronica created a blue work of art,veronica didn t create a helpful work of art
,,0,loretta created a muscular work of art and loretta created an agreeable work of art,maxine didn t create a muscular work of art
Judy is dead,Amy is wrong,1,Judy is dead and Amy is wrong, Amy is not wrong
Leslie is calm,Glenn is hallowed,0,Leslie is calm and Glenn is hallowed, Leslie is not hallowed
,,1,janice fought inez and janice felt threatened,janice didn t fight inez
,,0,mathew brought me out of jorge s house and mathew began crying,nicole didn t begin crying
,,1,"Hugh, who is a painter, bought the new Tesla Roadster",Hugh isn't a painter
Lauren is calm,Jorge is eager,1,Lauren is calm and Jorge is eager, Lauren is not calm
,,0,mae has traveled to blaj and linda has traveled to blaj,linda didn t travel to cluj napoca
,,1,christine has visited hunedoara and christine has visited vaslui,christine didn t visit hunedoara
,,0,erica brought me out of vera s house and erica heard marion,hazel didn t bring me out of vera s house
Francisco is vast,Vivian is easy,1,Francisco is vast and Vivian is easy, Vivian is not easy
Lori is victorious,Darlene is aggressive,0,Lori is victorious and Darlene is aggressive, Leroy is rich
,,1,lula created an eager work of art and lula created an agreeable work of art,lula didn t create an eager work of art
,,1,"Dan, who is a secretary, visit Kay",Dan isn't a secretary
,,1,charlie created a helpful work of art and charlie created a calm work of art,charlie didn t create a helpful work of art
,,0,diane said nice things and diane hit me,alan didn t say nice things
,,1,Anita saw Virginia driving a purple car,Anita didn't saw Virginia driving
,,1,sheila created a blue work of art and sheila created a faithful work of art,sheila didn t create a blue work of art
Charlotte is jolly,Joseph is proud,1,Charlotte is jolly and Joseph is proud, Charlotte is not jolly
Cory is jolly,Howard is kind,0,Cory is jolly and Howard is kind, Tina is not vast
Kurt is gentle,Kim is nice,0,Kurt is gentle and Kim is nice, Joel is not clever
,,1,greg has visited craiova and jodi has visited craiova,jodi didn t visit craiova
,,0,luz has traveled to timisoara and luz has traveled to cluj napoca,patricia didn t travel to timisoara
,,1,bryan created a zealous work of art and bryan created a happy work of art,bryan didn t create a zealous work of art
,,0,doris sat on the mat and doris kept saying this was crazy,glenn didn t sit on the mat
,,0,charlene felt threatened and charlene stood in front of the crowd,jimmie didn t feel threatened
,,0,jose created a salmon work of art and jose created a calm work of art,marsha didn t create a calm work of art
,,1,wesley created an unkempt work of art and wesley created an angry work of art,wesley didn t create an unkempt work of art
,,1,glenn went to slobozia and glenn went to dej,glenn didn t go to dej
Christy is silly,Dolores is gifted,0,Christy is silly and Dolores is gifted, Dolores is not silly
Daisy is agreeable,Agnes is poor,0,Daisy is agreeable and Agnes is poor, Agnes is not agreeable
Harvey is jolly,Catherine is aggressive,1,Harvey is jolly and Catherine is aggressive, Harvey is not jolly
,,1,lois created a powerful work of art and lois created a hallowed work of art,lois didn t create a powerful work of art
,,0,naomi ran from me and naomi let me drive corey s gray car,jeanette didn t let me drive corey s gray car
Derrick is delightful,Marguerite is mushy,0,Derrick is delightful and Marguerite is mushy, Marguerite is not delightful
,,0,Cecilia saw a boy driving Calvin's new Tesla Roadster,Cecilia didn't saw a boy driving an electric blue bicycle
,,1,"Leo, who is a fireman, visit Rebecca",Leo didn't visit Rebecca
,,0,antoinette created an agreeable work of art and antoinette created a magnificent work of art,chad didn t create a magnificent work of art
,,1,Sidney saw a girl running from a bus going to Vaslui,Sidney didn't saw a girl running
,,1,rosemary has visited giurgiu and rosemary has visited hunedoara,rosemary didn t visit hunedoara
,,1,stacy has visited craiova and kenneth has visited craiova,kenneth didn t visit craiova
,,1,"Barbara, who is a bartender, visit Shelley",Barbara didn't visit Shelley
Karen is aggressive,Aaron is delightful,0,Karen is aggressive and Aaron is delightful, Troy is tender
,,1,"Nina, who is a cleaner, bought the new Marvel movie from the Russo Brothers",Nina isn't a cleaner
,,1,clyde has traveled to lugoj and maurice has traveled to lugoj,clyde didn t travel to lugoj
,,0,helen got the money and helen took the footage,helen didn t drink a bottle of water
Calvin is brave,Ada is famous,0,Calvin is brave and Ada is famous, Calvin is not famous
,,1,victor created a calm work of art and victor created an uptight work of art,victor didn t create a calm work of art
,,1,ronnie created a black work of art and ronnie created a poor work of art,ronnie didn t create a black work of art
,,0,terrance has visited vaslui and terrance has visited slobozia,jimmy didn t visit vaslui
,,1,casey got me lying and casey beat him,casey didn t get me lying
,,0,leon thought i was living in reghin and leon stood in front of the crowd,gina didn t stand in front of the crowd
,,1,velma sent me a letter and velma sat on the chair,velma didn t send me a letter
,,0,ray went to craiova and duane went to craiova,duane didn t go to mangalia
,,1,Sandy saw a girl running from a gray bus with a new engine,Sandy didn't saw a girl running
,,0,rose bet on the black car and rose flew to blaj,sergio didn t bet on the black car
,,0,Jessie saw a boy running from a purple car,Jessie didn't saw a boy running from a purple bus with a new engine
Jessie is nice,Denise is famous,0,Jessie is nice and Denise is famous, Denise is not nice
,,0,jon created a nice work of art and jon created a gorgeous work of art,tyler didn t create a nice work of art
,,0,hugh went to dej and kathy went to dej,kathy didn t go to vaslui
Bradley is eager,Patsy is lively,1,Bradley is eager and Patsy is lively, Bradley is not eager
,,0,suzanne created a hallowed work of art and suzanne created a happy work of art,suzanne didn t create a dazzling work of art
,,1,vincent created a bewildered work of art and vincent created a panicky work of art,vincent didn t create a bewildered work of art
,,1,jane flew to deva and jane ran from barcelona to hunedoara,jane didn t fly to deva
Cecilia is rich,Pamela is helpful,1,Cecilia is rich and Pamela is helpful, Pamela is not helpful
,,1,lindsey created an important work of art and lindsey created a short work of art,lindsey didn t create an important work of art
,,0,Irene saw Penny driving Elmer's car,Irene didn't saw Penny driving a blue car
,,0,deborah created a plain work of art and deborah created a kind work of art,beulah didn t create a plain work of art
Joy is calm,Sherry is proud,1,Joy is calm and Sherry is proud, Joy is not calm
,,1,gina has visited giurgiu and maureen has visited giurgiu,gina didn t visit giurgiu
,,0,sherri lost the mango car in timisoara and sherri dug a hole in kimberly s backyard,jeanette didn t lose the mango car in timisoara
,,1,"Barry, who is a musician, saw the accident",Barry isn't a musician
,,0,carmen threw everything out the window and carmen won the soccer match,antonio didn t win the soccer match
,,1,karl has traveled to arad and angie has traveled to arad,karl didn t travel to arad
,,1,lee created a nervous work of art and lee created an icy work of art,lee didn t create a nervous work of art
,,1,lena has traveled to slatina and lena has traveled to reghin,lena didn t travel to slatina
,,0,roger went to bucharest and brent went to bucharest,roger didn t go to baia mare
,,0,mae created a mealy work of art and mae created a repulsive work of art,mae didn t create a bald work of art
,,1,rafael created an icy work of art and rafael created an inexpensive work of art,rafael didn t create an icy work of art
,,0,Terrance saw a girl driving a ashy car,Terrance didn't saw a girl driving Julian's bicycle
,,0,"Amelia, who is a builder, saw the accident","Amelia, who is a accountant, didn't saw the accident"
,,0,tonya went to arad and keith went to arad,stacey didn t go to arad
,,0,leona created an inexpensive work of art and leona created a panicky work of art,velma didn t create a panicky work of art
,,1,luz created a long work of art and luz created a witty work of art,luz didn t create a long work of art
,,0,"Jesse, who is a flight attendant, saw the new Marvel movie from the Russo Brothers","Jesse, who is a butcher, didn't saw the new Marvel movie from the Russo Brothers"
,,0,chad has visited turda and chad has visited bucharest,chad didn t visit oradea
,,0,Milton saw a boy running from a blue bus,Milton didn't saw a boy running from a special recently built bus
Carla is polite,Shirley is victorious,0,Carla is polite and Shirley is victorious, Monique is not careful
,,1,herbert paid her and herbert hid behind a bush,herbert didn t hide behind a bush
,,1,becky burned some calories and becky caught a green fish,becky didn t burn some calories
,,0,bobby dug a hole in derek s backyard and bobby wore a blue hat,bobby didn t break the rules
Shawn is victorious,Alan is ambitious,0,Shawn is victorious and Alan is ambitious, Robin is not important
,,0,leo created a gorgeous work of art and leo created a brave work of art,jim didn t create a gorgeous work of art
Wilma is proud,Terry is obedient,0,Wilma is proud and Terry is obedient, Elmer is not clever
,,0,stella has traveled to reghin and stella has traveled to turda,sam didn t travel to turda
,,0,timothy made me change the way i wrote and timothy sat on the chair,timothy didn t swim out toward the ashy boat
Patsy is victorious,Melissa is brave,1,Patsy is victorious and Melissa is brave, Patsy is not victorious
,,0,amelia has visited lugoj and amelia has visited deva,amelia didn t visit reghin
,,0,gordon went to baia mare and gordon went to giurgiu,gordon didn t go to deva
,,0,"Diana, who is a receptionist, bought a Macbook","Diana, Angela's mother, didn't buy a Macbook"
,,1,brian has visited craiova and christine has visited craiova,brian didn t visit craiova
Danielle is brave,Becky is careful,0,Danielle is brave and Becky is careful, Danielle is not careful
,,1,"Billy, who is a secretary, saw the new Marvel movie from the Russo Brothers",Billy isn't a secretary
Betty is silly,Ana is important,0,Betty is silly and Ana is important, Betty is not important
Wade is poor,Dan is important,1,Wade is poor and Dan is important, Dan is not important
,,1,gabriel went to mangalia and gabriel went to vaslui,gabriel didn t go to vaslui
,,0,jill went to deva and jill went to mangalia,jill didn t go to vaslui
,,1,"Daisy, who is a baker, saw the car crash",Daisy isn't a baker
,,0,"Lee, who is a builder, saw the new Marvel movie from the Russo Brothers","Lee, Patsy's mother, didn't saw the new Marvel movie from the Russo Brothers"
